gene_id	family	source	discovery_round	sequence_scope	matched_protein_id	hmmer_score	hmmer_evalue	length	original_family	resolution_group	family_resolution_method	family_resolution_status	nearest_reference_id	nearest_reference_family	meme_status	meme_status_quality_aware	motif_support_quality	singleton_passthrough	meme_evaluable	meme_biological_pass	meme_operational_pass	meme_pass	pfam_pass	pfam_status	stability_pass	selection_annotated	contamination_pass	pfam_gate_active	stability_gate_active	contamination_gate_active	final_pass
GMO.00002518.v1.g587860.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002518.v1.g587860.t1	303.9	5.8e-89	533							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001014.v1.g091340.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001014.v1.g091340.t1	303.7	6.8e-89	535							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001014.v1.g091350.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001014.v1.g091350.t2	303.3	8.8e-89	451							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g161760.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001343.v1.g161760.t1	297.2	6.1e-87	509							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002645.v1.g652180.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002645.v1.g652180.t1	296.6	9.7e-87	609							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001111.v1.g110750.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001111.v1.g110750.t2	296.1	1.3e-86	507							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002601.v1.g630240.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002601.v1.g630240.t1	295.9	1.6e-86	609							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g173490.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001385.v1.g173490.t2	294.1	5.6e-86	509							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000684.v1.g046560.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000684.v1.g046560.t1	292.6	1.5e-85	361							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002294.v1.g447480.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002294.v1.g447480.t1	292.6	1.5e-85	361							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002452.v1.g534740.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002452.v1.g534740.t1	292.4	1.8e-85	514							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000748.v1.g065510.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000748.v1.g065510.t1	290.0	9.4e-85	514							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002283.v1.g429740.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002283.v1.g429740.t1	289.8	1.1e-84	541							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002589.v1.g625320.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002589.v1.g625320.t1	289.8	1.1e-84	541							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000684.v1.g046500.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000684.v1.g046500.t1	288.6	2.5e-84	361							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002294.v1.g447430.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002294.v1.g447430.t1	288.6	2.5e-84	361							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002216.v1.g353960.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002216.v1.g353960.t1	287.1	7.1e-84	511							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002364.v1.g514290.t3	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002364.v1.g514290.t3	286.1	1.4e-83	519							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002802.v1.g688190.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002802.v1.g688190.t1	286.1	1.4e-83	523							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002654.v1.g655770.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002654.v1.g655770.t1	284.5	4.3e-83	523							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000837.v1.g071980.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000837.v1.g071980.t1	284.2	5.7e-83	551							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g458010.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g458010.t1	284.2	5.7e-83	551							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g161770.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001343.v1.g161770.t2	283.4	9.7e-83	506							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g173480.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001385.v1.g173480.t2	283.3	1.0e-82	505							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000395.v1.g009900.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000395.v1.g009900.t1	283.0	1.2e-82	509							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002253.v1.g370380.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002253.v1.g370380.t1	283.0	1.2e-82	509							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002497.v1.g563220.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002497.v1.g563220.t2	282.6	1.6e-82	455							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002288.v1.g440240.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002288.v1.g440240.t1	282.5	1.7e-82	427							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002498.v1.g566910.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002498.v1.g566910.t2	281.9	2.8e-82	455							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001266.v1.g138010.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001266.v1.g138010.t1	280.1	9.4e-82	567							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002294.v1.g448420.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002294.v1.g448420.t1	280.1	9.5e-82	567							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001745.v1.g234860.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001745.v1.g234860.t1	279.8	1.1e-81	519							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001690.v1.g223060.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001690.v1.g223060.t1	279.5	1.5e-81	556							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002465.v1.g547360.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002465.v1.g547360.t1	279.5	1.5e-81	556							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000558.v1.g024250.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000558.v1.g024250.t2	277.9	4.5e-81	464							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g462560.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g462560.t1	276.7	1.0e-80	528							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000855.v1.g077950.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000855.v1.g077950.t1	276.4	1.2e-80	529							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002354.v1.g500740.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002354.v1.g500740.t2	275.8	2.0e-80	513							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002325.v1.g478320.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002325.v1.g478320.t2	275.6	2.1e-80	450							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000855.v1.g077940.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000855.v1.g077940.t1	275.2	3.0e-80	526							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002636.v1.g647730.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002636.v1.g647730.t2	274.9	3.5e-80	427							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g173500.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001385.v1.g173500.t2	274.7	4.3e-80	508							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001183.v1.g117980.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001183.v1.g117980.t2	274.4	5.1e-80	513							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g161740.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001343.v1.g161740.t2	273.8	7.7e-80	508							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002276.v1.g411740.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002276.v1.g411740.t1	273.7	8.4e-80	582							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002556.v1.g618810.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002556.v1.g618810.t1	272.9	1.5e-79	542							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002176.v1.g318380.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002176.v1.g318380.t2	270.8	6.2e-79	508							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002275.v1.g406490.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002275.v1.g406490.t1	270.7	6.9e-79	585							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002700.v1.g662400.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002700.v1.g662400.t1	270.5	8.1e-79	535							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002312.v1.g451540.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002312.v1.g451540.t1	270.2	9.7e-79	535							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000895.v1.g085790.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000895.v1.g085790.t2	269.3	1.9e-78	406							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001247.v1.g133700.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001247.v1.g133700.t1	268.8	2.6e-78	516							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002468.v1.g549140.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002468.v1.g549140.t1	268.8	2.6e-78	516							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000855.v1.g077930.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000855.v1.g077930.t1	268.7	2.7e-78	526							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001695.v1.g225560.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001695.v1.g225560.t2	268.6	3.0e-78	518							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g462530.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g462530.t1	268.3	3.7e-78	526							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001111.v1.g114800.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001111.v1.g114800.t1	268.0	4.6e-78	521							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001695.v1.g225550.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001695.v1.g225550.t1	267.4	6.7e-78	519							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000095.v1.g000830.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000095.v1.g000830.t1	267.2	7.7e-78	476							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002176.v1.g318430.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002176.v1.g318430.t1	267.2	7.7e-78	476							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002500.v1.g573140.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002500.v1.g573140.t1	266.8	1.0e-77	544							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002556.v1.g618500.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002556.v1.g618500.t2	266.4	1.4e-77	520							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001808.v1.g249080.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001808.v1.g249080.t2	265.6	2.4e-77	504							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001599.v1.g207000.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001599.v1.g207000.t2	265.5	2.6e-77	374							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002312.v1.g451550.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002312.v1.g451550.t1	265.4	2.7e-77	535							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002700.v1.g662350.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002700.v1.g662350.t1	265.4	2.7e-77	535							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001309.v1.g145170.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001309.v1.g145170.t1	261.6	4.0e-76	319							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002523.v1.g604530.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002523.v1.g604530.t1	261.3	4.9e-76	464							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002805.v1.g688290.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002805.v1.g688290.t1	261.3	4.9e-76	464							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000847.v1.g076180.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000847.v1.g076180.t1	260.6	7.6e-76	510							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g459170.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g459170.t1	259.8	1.4e-75	510							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g459180.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g459180.t1	258.5	3.4e-75	510							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002556.v1.g618490.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002556.v1.g618490.t2	257.1	9.4e-75	518							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g163340.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001343.v1.g163340.t2	255.5	2.9e-74	495							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g171860.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001385.v1.g171860.t2	255.5	2.9e-74	495							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002363.v1.g506270.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002363.v1.g506270.t1	255.4	2.9e-74	526							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000847.v1.g076170.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000847.v1.g076170.t1	253.9	8.3e-74	510							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001278.v1.g140690.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001278.v1.g140690.t1	253.7	9.5e-74	541							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002494.v1.g559460.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002494.v1.g559460.t1	253.7	9.5e-74	541							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000693.v1.g047280.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000693.v1.g047280.t1	252.8	1.8e-73	477							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002317.v1.g455050.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002317.v1.g455050.t1	252.2	2.8e-73	477							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001330.v1.g153530.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001330.v1.g153530.t1	252.1	3.1e-73	439							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002453.v1.g537630.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002453.v1.g537630.t2	251.8	3.8e-73	444							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000574.v1.g029490.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000574.v1.g029490.t2	250.3	1.0e-72	433							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002325.v1.g480350.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002325.v1.g480350.t1	249.7	1.6e-72	525							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g473260.t4	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g473260.t4	249.5	1.8e-72	548							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000895.v1.g084320.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000895.v1.g084320.t2	248.9	2.8e-72	444							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002253.v1.g369750.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002253.v1.g369750.t1	248.7	3.1e-72	505							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g163350.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001343.v1.g163350.t2	248.6	3.5e-72	457							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000847.v1.g076200.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000847.v1.g076200.t1	248.2	4.5e-72	501							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g459150.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g459150.t1	248.2	4.5e-72	501							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000872.v1.g080170.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000872.v1.g080170.t2	247.2	8.8e-72	545							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g459160.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g459160.t1	245.3	3.6e-71	503							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001056.v1.g099770.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001056.v1.g099770.t1	244.6	5.6e-71	483							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002363.v1.g508920.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002363.v1.g508920.t1	243.4	1.3e-70	483							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000847.v1.g076190.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000847.v1.g076190.t1	243.3	1.4e-70	503							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g160020.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001343.v1.g160020.t2	241.7	4.2e-70	512							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g175310.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001385.v1.g175310.t2	241.7	4.2e-70	512							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002770.v1.g681890.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002770.v1.g681890.t2	241.1	6.5e-70	332							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002612.v1.g635740.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002612.v1.g635740.t1	236.9	1.2e-68	517							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000602.v1.g037050.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000602.v1.g037050.t2	236.3	1.9e-68	475							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002354.v1.g495850.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002354.v1.g495850.t2	236.3	1.9e-68	475							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002601.v1.g631280.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002601.v1.g631280.t1	234.7	5.5e-68	518							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001595.v1.g202620.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001595.v1.g202620.t2	234.1	8.7e-68	353							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002284.v1.g432820.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002284.v1.g432820.t2	232.7	2.3e-67	428							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002486.v1.g552560.t2	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002486.v1.g552560.t2	232.6	2.5e-67	428							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002253.v1.g390980.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002253.v1.g390980.t1	232.0	3.8e-67	491							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000616.v1.g037230.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000616.v1.g037230.t1	229.9	1.6e-66	521							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002354.v1.g497510.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002354.v1.g497510.t1	229.9	1.6e-66	521							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001343.v1.g157710.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001343.v1.g157710.t1	228.9	3.1e-66	530							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00001385.v1.g177530.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00001385.v1.g177530.t1	228.9	3.1e-66	530							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00000855.v1.g077960.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00000855.v1.g077960.t1	228.3	5.1e-66	358							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002319.v1.g462570.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002319.v1.g462570.t1	224.6	6.6e-65	358							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002276.v1.g412500.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002276.v1.g412500.t1	222.1	3.8e-64	477							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002254.v1.g391910.t4	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002254.v1.g391910.t4	221.4	6.1e-64	389							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
GMO.00002275.v1.g405750.t1	AOS_HPL	proteome_v1_exact	round2	full_length	GMO.00002275.v1.g405750.t1	221.4	6.1e-64	477							confirmed	confirmed	strong_only	False	True	True	True	True	True	complete	True	True	True	True	False	False	True
